Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
1981-01-01,52.30%,"4,079,400","7,800,000",60.36%,"6,759,000","9,044,000",,No
1986-01-01,60.31%,"5,454,672","9,044,964",74.38%,"7,333,480","16,667,000",4.70%,No
1991-01-01,88.13%,"5,725,246","6,496,365",83.60%,"6,848,400","8,780,000",1.50%,No
1994-01-01,86.74%,"5,562,920","6,413,172",82.77%,"6,721,260","8,617,000",1.70%,No
1997-01-01,88.13%,"5,725,246","6,496,365",83.60%,"6,848,400","8,780,000",1.50%,No
1999-01-01,65.79%,"8,894,566","13,518,839",75.77%,"11,738,680","22,341,605",2.80%,No
2008-01-01,63.29%,"11,146,540",,74.42%,"14,978,158","28,901,790",3.70%,No
2013-01-01,78.34%,"9,516,724","12,147,865",57.36%,"16,589,839","27,917,117",4.96%,No
2017-01-01,68.67%,"10,594,044","15,428,159",56.98%,"18,591,336","29,384,297",5.18%,No
2022-01-01,61.35%,"11,126,226","18,136,482",53.84%,"20,665,380","30,666,598",5.09%,No
2026-03-05,59.67%,"11,280,617","18,903,689",48.75%,"23,140,809","31,540,295",3.95%,No
